,content
1327,"25kg luggage allowance, free meals in internal flights, in Delhi departure from T3 international. Seems they have sometimes treatment other companies can only dream of- once we had 2,5 hour flight, which departure was 0,5 hour late. Captain told in his announcement how sorry they are for delay, but now we have priority and better flight corridore, as result we...
"
1328,"Air lines only cares to board the passengers and take them to the final destination. Other than that the facilities inside the coach are not even in operating conditions that includes TV, the audio ear plugs don't connect properly, the toilet facility all faulty or damaged. The Air Lines simply taking and bringing the coaches back and forth, they never...
"
1329,"Considering that the flight I took was an international flight, the aircraft was not clean and slightly tatty. The Business Class experience was at best average and the food was not international standard. Service on board was also very average - the level of a three star hotel n Europe. They could certainly do better!
"
1330,"I had travelled internationally with air india 6 times, It a was very nice experience and comfortable journey always .
"
1331,"This was my first time flying with Air India. The flight was an average flight. I liked the service and i chose this air line for the 25 kg baggage they give... The food was also okay...
All in all it was an average experience
"
1332,"I have been travelling with Air India since from last 3 decades....yes, for both national and international travel.... I have always find services were good enough from ground staff to crew members...
Personally, I feel seat are not enough comfortable for long hours journey...as whenever I travelled within the country, it was good. But it's not comfortable, in case of...
"
1333,"Average-Low Average.
Pros:
- The company provides convenience with direct flights to Delhi.
- The staff was polite.
- There is an average movie selection
- Seats are equipped with USB charger (always a plus!)
Cons:
- The seats are incredibly uncomfortable. The back of the seat is straight plastic with cloth over it. I understand that seats in economy...
"
1334,"I am a fan of Air India, despite the horror stories I have heard from all different sources. Whenever I go to India, I make a deliberate effort to go with Air India. Primary reasons are relatively comfortable seating, good delicious food and plenty of check in luggage. And yes, they are definitely the best priced so, this is it....
"
1335,"Old planes that has not been upgraded/refurbished in some time. Toilet even smelt of urine. Never again.
"
1336,"We have had 5 Air India flights during our holiday in India. All of them have been changed prior to the flight, and all except the Air India Alliance flight from Cochin to Bengaluru have been delayed.
We had to be put up in a hotel in Delhi airport because our flight from Kathmandu was delayed and we missed our...
"
1337,"It was only when we got to Amritsar airport that we realised that this was in fact an international flight and although we had a connecting domestic flight to Jodhpur on arrival at Delhi airport we had to go thru passport control and goes what back in thru passport control. YOU WOULD HAVE THOUGHT THAT THE PUNJAB WAS A FOREIGN...
"
1338,"My return flight from San Francisco to New Delhi was as enjoyable and comfortable as the flight from New Delhi to San Francisco. This time the flight arrived an hour before its scheduled arrival. The lounge at San Francisco airport (shared with another airline) was a bit crowded.
"
